,name,platform,director,casting,rating,원제,제작 연도,장르,국가,연령 등급,내용,채널
2553,매드 맨 시즌 6,['왓챠'],"['스콧 혼바커', '스콧 혼바커']","['존 햄', '엘리자베스 모스', '빈센트 카르타이저', '크리스티나 헨드릭스', '존 슬래터리', '재뉴어리 존스']",4.0,Mad Men,2013,드라마/시대극/TV드라마,미국,청소년 관람불가,1960년대 미국 광고 사업의 중심지였던 매드슨 가의 광고 업계 사람들의 이야기를 다룬 드라마,AMC
2554,마스터 오브 제로 시즌 2,['넷플릭스'],[],"['아지즈 안사리', '에릭 웨어하임', '켈빈 유', '리나 웨이스', '알레산드라 마스트로나르디', '노엘 웰스']",4.0,Master of None,2017,코미디/TV드라마,미국,청소년 관람불가,이탈리아의 새로운 열정을 뒤로하고 뉴욕으로 돌아온 데브. 다시금 짝짓기의 세계로 뛰어든 그는 완전히 다른 삶을 시작하고 싶다는 고민에서 빠져나오지 못한다.,Netflix
2555,디스인챈트 파트 1,['넷플릭스'],[],[],3.5,Disenchantment,2018,애니메이션/액션/모험/코미디/판타지,미국,15세 관람가,"중세를 배경으로, 과음을 일삼는 공주와, 그녀의 당돌한 요정, 또 그녀의 개인 악마가 함께하는 좌충우돌 모험.",Netflix
2556,포틀랜디아 시즌 1,,"['조나단 크리셀', '조나단 크리셀']",[],3.7,Portlandia,2011,코미디/TV드라마,미국,,미국 오레곤주의 포틀랜드 지역을 배경으로 다양한 삶의 모습을 패러디를 통해 풍자한 코미디.,IFC
2557,트릭 2,,"['츠츠미 유키히코', '키무라 히사시', '츠츠미 유키히코', '키무라 히사시', '츠츠미 유키히코', '키무라 히사시', '키토 리조', '츠츠미 유키히코', '키무라 히사시', '키토 리조', '키토 리조']","['나카마 유키에', '아베 히로시', '노기와 요코', '나마세 카츠히사', '마에하라 카즈키', '오시마 요코']",4.0,Trick,2002,TV드라마,일본,15세 관람가,일이 없어 한가한 마술사와 유능한 물리학자가 미스터리한 사건을 해결하는 이야기,TV Asahi
2558,트릭 1,,"['츠츠미 유키히코', '호보 히로아키', '오오네 히토시', '츠츠미 유키히코', '호보 히로아키', '오오네 히토시', '키무라 히사시', '츠츠미 유키히코', '호보 히로아키', '오오네 히토시', '키무라 히사시']","['나카마 유키에', '아베 히로시', '노기와 요코', '오카다 마스미', '나마세 카츠히사', '마에하라 카즈키']",4.0,Trick,2000,미스터리/TV드라마,일본,15세 관람가,일이 없어 한가한 마술사와 유능한 물리학자가 미스터리한 사건을 해결하는 이야기,TV Asahi
2559,망각의 사치코 2020 SP,['웨이브'],[],"['타카하타 미츠키', '사오토메 타이치', '하야마 쇼노', '후세 에리', '아이자와 리나', '시게오카 히로시']",3.8,忘却のサチコ 新春スペシャル,2020,드라마/로맨스/TV드라마,일본,15세 관람가,아쿠타야마상에 후보로 오른 미슈란 카오루 선생님의 차기작 취재를 위해 고베로 떠나게 된 사치코. 하지만 시상식 때문에 당일치기의 강행군이 되고 만다. 설상가상으로 아이돌 모기카의 팬인 지니어스 쿠로다 선생님의 의뢰로 고베에서 코바야시와 가상의 데이트를 하게 된 사치코! 고베의 구석구석을 돌아다니며 미식을 탐구하며 지난 사랑을 잊기 위해 분투하는 그녀는 이번에도 맛있는 음식으로 슌고를 망각할 수 있을까!?,TV Tokyo
2560,망각의 사치코,['웨이브'],[],"['타카하타 미츠키', '사오토메 타이치', '하야마 쇼노', '아이자와 리나', '시게오카 히로시', '우에치 하루나']",3.8,忘却のサチコ,2018,드라마/로맨스/TV드라마,일본,15세 관람가,"냉철한 여주인공이 결혼식 당일 신랑이 도망가게 되고, 달아난 신랑을 잊기 위해 음식을 찾아다니는 이야기를 그린 드라마.",TV Tokyo
2561,치하야후루 1기,['티빙'],['아사카 모리오'],"['호소야 요시마사', '미야노 마모루', '카야노 아이', '나라 토오루', '요나가 츠바사']",4.1,ちはやふる,2011,애니메이션/코미디/드라마,일본,15세 관람가,"커다란 키에, 예쁘장한 얼굴, 누구나 보면 한 번에 반할 듯한 미모의 소유자인 아야세 치하야. 하지만 그녀의 말투나 행동을 보면 누구나 금세 환상에서 깨곤 한다. 그도 그럴 것이 치하야는 경기 카루타에 미친 ‘카루타 바보’였던 것이다. 도대체 누가, 어떻게 이 예쁘장한 아가씨를 카루타 바보로 만들어 버린 것일까? 치하야와 카루타, 그리고 아라타와의 운명 같은 만남. 바로 그 첫 번째 이야기가 시작된다.",NTV
2562,웬트워스 시즌 5,['넷플릭스'],[],"['케이트 앳킨슨', '로비 마가시바', '카트리나 밀로셰비치', '파멜라 레이브', '다니엘 코맥', '니콜 다 실바']",4.2,Wentworth,2017,드라마/범죄,호주,청소년 관람불가,여자 교도소에서 일어나는 사건을 그린 드라마,Showcase
2563,채운국 이야기 1기,,[],"['우정신', '김일', '김승준', '신용우', '양석정', '김민석']",3.5,彩雲国物語,2006,애니메이션,일본,,"채운국의 명문 7가 중에서도 최고 가문인 ‘홍’가 출신의 16살 수려. 하지만 기울어진 가세 때문에 여느 귀족 규수와는 달리 집안 살림부터 경제활동까지 온갖 일을 도맡아 하는 당찬 아가씨이다. 이런 수려에게 어느 날, 채운국 최고 관리인 소태사가 왕의 후궁 자리를 제안하며 금 오백냥을 내놓는데, 조건은 무능한 젊은 국왕을 교육 시켜 6개월 내에 훌륭한 왕으로 만들어야 한다는 것! 19살의 젊은 국왕인 자류휘는 국정에 전혀 관심이 없는 무능한 왕으로 알려져 있는데, 이런 자류휘를 반드시 교육시키겠다고 당찬 포부를 밝히는 수려. 과연 수려는 류휘를 최고의 국왕으로 만들 수 있을까?",NHK BS
2564,티핑 더 벨벳,,[],[],3.5,Tipping the Velvet,2002,드라마/TV드라마,영국,,"영국의 소설가 사라 워터스의 동명 소설을 원작으로 한 퀴어 미니시리즈.
18세의 낸은 어느 날 언니의 남자친구가 부지배인으로 있는 극장의 공연을 보게 된다.
남자친구와의 키스에도 아무런 느낌을 받지 못했던 낸은, 남장 연기자인 키티에게 반해 매일 극장으로 그녀를 보러 가는데...",BBC
2565,캠핑클럽,['티빙'],"['마건영', '정승일']","['이효리', '성유리', '이진', '옥주현']",3.8,캠핑클럽,2019,예능,한국,15세 관람가,14년 만에 다시 모인 1세대 아이돌 ‘핑클’의 멤버들이 캠핑카를 타고 전국을 여행을 하는 모습을 담은 리얼리티 프로그램,JTBC
2566,디 아워 시즌 2,['왓챠'],[],"['벤 위쇼', '도미닉 웨스트', '로몰라 가레이', '안나 챈슬러', '우나 채플린', '줄리안 린드 터트']",4.3,The Hour,2012,드라마/로맨스/TV드라마,영국,15세 관람가,"1950년대 수에즈 운하를 두고 이집트와 충돌하던 냉전시대의 영국을 배경으로 BBC 뉴스 프로그램 '디 아워'에서 벌어지는 냉전시대 영국의 스파이, 기자, 프로듀서, 앵커들의 이야기",BBC Two
2567,더 폴 시즌 2,,"['앨런 큐빗', '앨런 큐빗']","['질리언 앤더슨', '제이미 도넌', '존 린치', '브로나 워', '아치 판자비', '니암 맥그러디']",3.5,The Fall,2014,스릴러/드라마/범죄/TV드라마,영국,,북아일랜드 벨파스트를 배경으로 런던 경시청의 스텔라 깁슨이 연쇄살인범을 체포하는 과정에서 벌어지는 이야기를 다룬 드라마.,BBC Two
2568,더 폴 시즌 1,,['제이콥 버브루겐'],"['질리언 앤더슨', '제이미 도넌', '존 린치', '브로나 워', '니암 맥그러디', '벤 필']",3.6,The Fall,2013,스릴러/드라마/범죄/TV드라마,영국,청소년 관람불가,북아일랜드 벨파스트를 배경으로 런던 경시청의 스텔라 깁슨이 연쇄살인범을 체포하는 과정에서 벌어지는 이야기를 다룬 드라마.,BBC Two
2569,베리 잉글리시 스캔들,['왓챠'],"['스티븐 프리어스', '스티븐 프리어스', '스티븐 프리어스']","['휴 그랜트', '벤 위쇼', '알렉스 제닝스', '데이비드 뱀버', '제이슨 왓킨스', '패트리시아 호지']",3.8,A Very English Scandal,2018,전기/코미디/범죄/드라마/역사/TV드라마,영국,15세 관람가,자유당 대표 제레미 소프. 1979년 그는 자신의 전 애인을 암살하려 했다는 혐의로 재판에 소환된다.,BBC One
2570,디 아워 시즌 1,['왓챠'],"['코키 지드로익', '코키 지드로익', '코키 지드로익']","['벤 위쇼', '로몰라 가레이', '도미닉 웨스트', '바네사 커비', '팀 피곳 스미스', '앤턴 레서']",4.2,The Hour,2011,드라마/로맨스/TV드라마,영국,15세 관람가,"1950년대 수에즈 운하를 두고 이집트와 충돌하던 냉전시대의 영국을 배경으로 BBC 뉴스 프로그램 '디 아워'에서 벌어지는 냉전시대 영국의 스파이, 기자, 프로듀서, 앵커들의 이야기",BBC Two
2571,신들의 만찬,['웨이브'],[],"['성유리', '주상욱', '이상우', '서현진', '전인화', '김보연']",3.1,신들의 만찬,2012,로맨스/TV드라마,한국,15세 관람가,한식을 소재로 운명적으로 얽힌 두 여성요리사의 이야기를 담은 드라마.,MBC
2572,내 생애 마지막 스캔들,['웨이브'],[],"['최진실', '정준호', '정웅인', '변정수', '김병세', '김형자']",3.5,내 생애 마지막 스캔들,2008,로맨스/TV드라마,한국,15세 관람가,서른 아홉 억척 아줌마 홍선희(최진실)는 산부인과에서 검진을 받다가 조기 폐경이라는 말을 듣고 내심 충격에 빠진다. 나이를 일곱 살이나 속이고 30대 초반 행세를 하는 톱스타 송재빈(정준호)은 초절정 인기를 누리면서 연일 쏟아지는 일정에 숨차하는데 cf촬영장에서 엑스트라로 나선 홍선희와 싸움이 벌어진다. 첫사랑 홍선희를 잊지못하는 송재빈은 우연히 매니저를 통해 연락처를 받고는 전화통화를 해보는데...,MBC
2573,리빙 네버랜드,['왓챠'],['댄 리드'],[],3.4,Leaving Neverland,2019,다큐멘터리,미국,청소년 관람불가,"전성기 시절의 마이클 잭슨, 그는 7살, 10살의 소년들 그리고 그들의 가족과 긴 인연을 시작했다. 현재 30대가 된 소년들은 어떻게 잭슨이 자신들을 성적으로 학대했는지, 자신들이 어떻게 그 시간들을 받아들였는지 이야기한다.",HBO
2574,개와 함께 시즌 1,['넷플릭스'],['로저 로스 윌리엄스'],[],3.7,Dogs,2018,다큐멘터리,미국,,인간과 개가 나누는 깊은 교류를 담은 다큐멘터리,Netflix
2575,슈룹,"['넷플릭스', '티빙']",[],"['김혜수', '김해숙', '최원영', '김의성', '문상민', '찬희']",3.4,슈룹,2022,드라마/시대극/TV드라마,한국,15세 관람가,조선 로열 패밀리의 교육법을 소재로 모든 궁중 엄마들의 멈출 수 없는 자식 사랑과 욕망에 대한 이야기,tvN
2576,우주를 누비는 쏙독새,['넷플릭스'],[],"['키요하라 카야', '시게오카 다이키']",3.2,宇宙を駆けるよだか,2018,드라마,일본,청소년 관람불가,두 여고생의 몸이 서로 바뀐다. 귀엽고 인기 많은 여학생의 몸을 갖게 된 소녀는 다시 자신의 몸으로 돌아가기를 거부한다.,
2577,트라이건,['넷플릭스'],[],"['오노사카 마사야', '츠루 히로미', '하야미 쇼', '세키 토시히코', '히사카와 아야', '코스기 주로타']",3.7,トライガン,1998,애니메이션/서부극,일본,15세 관람가,"인간 세상에 적응하여 살아가려고 하지만 닥치는대로 사람을 해치는 나이브즈 덕에 밧슈는 엄청난 현상금이 걸린채 도망자 신세가 되고, 결국 나이브즈와 헤어져 어떻게든 사람은 쏘지 않는다는 신념을 지닌채 밧슈의 험난한 여정을 그린 애니메이션",TV Tokyo
2578,철인왕후,"['넷플릭스', '티빙']",[],"['신혜선', '김정현', '배종옥', '김태우', '설인아', '나인우']",3.3,철인왕후,2020,판타지/로맨스/시대극/TV드라마,한국,15세 관람가,불의의 사고로 대한민국 대표 허세남 영혼이 깃들어 '저 세상 텐션'을 갖게 된 중전 김소용과 두 얼굴의 임금 철종 사이에서 벌어지는 영혼가출 스캔들,tvN
2579,어서와 한국은 처음이지? 시즌 2,"['왓챠', '넷플릭스']",[],"['김준현', '이현이', '알베르토 몬디', '딘딘', '신아영', '박지민']",3.7,어서와 한국은 처음이지?,2018,예능,한국,15세 관람가,한국에 처음 와본 외국인 친구들의 리얼한 '한국 여행기'를 통해 '여행' 그대로의 보는 즐거움과 문화적 차이에서 오는 재미까지 동시에 선사하는 '신개념 국내 여행' 리얼리티 프로그램,MBC every1
2580,너의 모든 것 시즌 2,['넷플릭스'],[],"['펜 배질리', '빅토리아 페드레티', '엠버 칠더스', '제나 오르테가', '제임스 스쿨리', '카멜라 줌바도']",3.7,You,2019,범죄/드라마/스릴러/TV드라마,미국,,"이쪽은 윌 베텔하임.
예전의 조는 잊어. 

새 출발을 위해 LA에 온 그. 다시는 사랑하지 않겠다고 다짐하지만, 그게 쉽나? 살인처럼, 사랑은 언제나 그의 곁을 맴돈다.",Netflix
2581,차트를 달리는 남자,,[],"['이상민', '조우종']",3.2,차트를 달리는 남자,2016,예능,한국,15세 관람가,전 세계 별별 사건을 끝까지 파고 파는 차트쇼,KBS Joy
2582,옥탑방의 문제아들,"['왓챠', '웨이브']",[],"['김용만', '송은이', '김숙', '정형돈', '민경훈']",3.6,옥탑방의 문제아들,2018,예능,한국,15세 관람가,‘뇌섹’이 각광받고 있는 사회에서 상식이라곤 1도 없을 것 같은 일명 ‘상식 문제아들’! 10문제를 풀어야만 퇴근할 수 있는 옥탑방에 갇혀 문제를 풀기 위해 고군분투하는 내용을 담은 지식 토크쇼,KBS2
2583,돼지의 왕,['티빙'],[],"['김동욱', '김성규', '채정안', '김민식', '한수연', '소아린']",3.8,돼지의 왕,2022,범죄/드라마/스릴러/TV드라마,한국,청소년 관람불가,20년 전 친구로부터의 메시지와 함께 시작된 의문의 연쇄살인으로 인해 '폭력의 기억'을 꺼내게 된 이들의 이야기를 담은 드라마,TVING
2584,안나: 죽지 않는 아이들,['왓챠'],[],"['줄리아 드라고토', '알레산드로 피코렐라', '클라라 트라몬타노', '지오반니 마빌라', '엘레나 례티', '로베르타 마테이']",3.6,Anna,2021,모험/드라마/공포/SF/TV드라마,"미국,이탈리아,프랑스",청소년 관람불가,"""어른들은 모조리 죽었다""

이탈리아 시칠리아섬. 어른들만 죽이는 바이러스가 세상에 퍼지고, 아이들은 어른들이 없는 세상에서 또 다른 사회를 만든다. 엄마를 잃고 홀로 동생을 돌보며 살아온 안나는 어느 날 집을 비운 사이 동생이 사라져 망연자실한다. 안나는 악명 높은 '파란 아이들' 무리가 동생을 데려갔다는 걸 알게 되고, 동생을 찾아 나서지만 안나가 만나는 아이들은 천진난만해서 더 잔인하다. 

아름다우면서도 잔혹한 세상에서 과연 안나는 동생을 다시 만날 수 있을까?",sky atlantic
2585,알쓸범잡 시즌 2,,[],"['윤종신', '권일용', '김상욱', '장강명']",3.9,알쓸범잡,2022,예능,한국,15세 관람가,"""이것은 우리 주변의 이야기입니다"" 언제, 어디서든, 누구에게나 일어날 수 있는 ‘범죄’로부터 당신의 일상을 지켜줄 <알아두면 쓸데있는 범죄 잡학사전 - 알쓸범잡 시즌2>",tvN
2586,결혼작사 이혼작곡 시즌 2,['넷플릭스'],[],"['성훈', '이태곤', '박주미', '이가령', '이민영', '전수경']",3.2,결혼작사 이혼작곡,2021,로맨스/TV드라마,한국,15세 관람가,"잘나가는 30대, 40대, 50대 매력적인 세 명의 여주인공에게 닥친 상상도 못 했던 불행에 관한 이야기, 진실한 사랑을 찾는 부부들의 불협화음을 다룬 드라마",TV CHOSUN
2587,결혼작사 이혼작곡,['넷플릭스'],['유정준'],"['성훈', '이태곤', '박주미', '이가령', '이민영', '전수경']",2.6,결혼작사 이혼작곡,2020,로맨스/TV드라마,한국,15세 관람가,"잘 나가는 30대, 40대, 50대 매력적인 세 명의 여주인공에게 닥친 상상도 못 했던 불행에 관한 이야기, 진실한 사랑을 찾는 부부들의 불협화음을 다룬 드라마",TV CHOSUN
