,name,platform,director,casting,rating,원제,제작 연도,장르,국가,연령 등급,내용,채널
0,강철의 연금술사 BROTHERHOOD,"['왓챠', '티빙']",[],"['박로미', '쿠기미야 리에', '타카모토 메구미', '미키 신이치로', '오리카사 후미코', '우츠미 켄지']",4.5,鋼の錬金術師 FULLMETAL ALCHEMIST,2009,액션/애니메이션/모험,일본,청소년 관람불가,"엘릭 형제는 현자의 돌을 사용하는 호문클로스라는 괴물들과 맞딱뜨리게 되고, 엘릭 형제가 그토록 찾아해매던 현자의 돌을 만들기 위해서는 사람의 목숨이 필요하다는 사실을 알게 된다. 다른 사람을 희생하면서까지 자신들의 몸을 되찾아야 하는지 고민에 빠지는 엘릭 형제. 악의 무리인 호문클로스들과 아버지라고 불리는자와의 치열한 대결이 끝난 후, 에드워드는 자신의 진리의문을 대가로 알폰스의 몸을 연성하고, 알폰스는 원래 세계로 돌아오게 된다.",
1,죠죠의 기묘한 모험 - 스타더스트 크루세이더즈,['넷플릭스'],[],"['오노 다이스케', '이시즈카 운쇼', '미야케 켄타', '히라카와 다이스케', '코마츠 후미노리', '후쿠엔 미사토']",4.1,ジョジョの奇妙な冒険,2014,애니메이션/액션/모험/판타지/공포,일본,청소년 관람불가,"1987년 일본. 어느날 갑자기 '악령'이 들러붙어 자신을 안전하게 하기 위해 유치장에 틀어박힌 고교생 쿠죠 죠타로. 어느날 자신의 조부인 죠셉 죠스타와 그 친구 모하마드 압둘이 방문해, 그것은 악령이 아니라 정신 에너지를 구현화시킨 초능력 '스탠드'라는 사실을 알려준다. 몇년 전, 죠셉의 조부였던 죠나단과 대결한 흡혈귀 DIO가 죠나단의 몸을 빼앗고 해저에 잠들었으나, 그가 부활한 탓에 죠스타 가문이 일제히 스탠드 능력을 발현했다는 것. DIO는 강력한 스탠드 능력자를 찾아 자신의 육체의 씨앗을 심어 부하로 조종하며 세계정복을 꾸미고 있었다. 몇일 후, 죠타로의 어머니인 쿠죠 홀리가 고열로 쓰러지게 된다. 이는 홀리에게 발현한 스탠드 능력때문이며, 투쟁본능이 약한 홀리는 스탠드의 능력을 제어하지 못하고 육체의 에너지를 소모하고 있었던 것이다. 홀리가 사망할때까지 남은 시간은 50일. 그 기간내에 DIO를 쓰러뜨리는 것 이외에는 다른 방법이 없다. 죠타로, 죠셉, 압둘 그리고 죠타로에 의해 DIO의 세뇌에서 풀린 카쿄인 노리아키 4사람은 DIO가 기다리는 이집트로 향한다.",TOKYO MX
2,밴드 오브 브라더스,['웨이브'],"['데이비드 프랭클', '미카엘 살로몬', '데이빗 너터', '필 알덴 로빈슨', '토니 토']","['데이미언 루이스', '론 리빙스턴', '도니 월버그', '스캇 그라임스', '피터 영블러드 힐스', '셰인 테일러']",4.4,Band of Brothers,2001,역사/드라마/액션/전쟁/시대극/TV드라마,"영국,미국",15세 관람가,"세계 2차대전 전문역사학자 스티븐 앰브로스의 소설 '밴드오브브라더스'를 원작으로, 세계 2차대전 당시 프랑스 노르망디에 상륙한 연합군 '이지(Easy)' 중대(제 101사단 506연대 2대대) 대원들의 활약상을 담은 드라마.",HBO
3,데스노트 1기,,[],"['김영선', '엄상현', '민응식', '정소영', '최문자', '장광']",4.3,데스노트,2006,애니메이션,일본,15세 관람가,"평범한 고교생인 야가미 라이토. 그는 전국에서 알아주는 우수한 성적을 가지고 있지만 매일 똑같은 하루에 지루함을 느끼곤 한다. 그러던 어느 날 하늘에서 검은 노트가 라이토 앞에 떨어진다. 그 노트는 사신계에서 떨어진 죽음의 노트. 그 노트에 이름이 적힌 자는 반드시 죽게 되는 노트인 데스노트였다. 라이토는 데스노트를 이용해 세상의 신이 되겠다는 계획을 세우고, 노트의 주인인 류크와 함께 데스노트를 이용해 세상의 범죄자들을 차례차례 죽여나가지만 이런 사건이 하나 둘씩 터지자 각 국가의 경찰들은 비상사태를 맞는다. 그리하여 그들은 탐정 L을 고용, 이 사건의 진범을 찾기로 하는데… 라이토와 L의 숨막히는 추리 게임이 시작된다!!!",NTV
4,블랙 미러 시즌 4,['넷플릭스'],"['조디 포스터', '토비 헤인즈', '조디 포스터', '토비 헤인즈']","['브라이스 달라스 하워드', '앨리스 이브', '마이클 켈리', '체리 존스', '구구 엄바사 로', '아만다 워렌']",4.2,Black Mirror,2017,드라마/SF/스릴러/TV드라마,영국,청소년 관람불가,가까운 미래의 첨단 기술이 인간의 욕망을 실현해주면서 벌어지는 특별한 상황들을 영국 특유의 어두운 상상력으로 풀어낸 6부작 SF 시리즈. 디지털 시대의 '환상 특급'이라 불린다.,Netflix
5,셜록 시즌 2,,"['폴 맥기건', '토비 헤인즈', '폴 맥기건', '토비 헤인즈', '폴 맥기건', '토비 헤인즈', '토비 헤인즈']","['베네딕트 컴버배치', '마틴 프리먼', '루퍼트 그레이브스', '우나 스텁스', '마크 거티스', '앤드류 스콧']",4.5,Sherlock,2012,범죄/미스터리/드라마,영국,12세 관람가,코난 아서 도일의 유명 추리소설 '셜록 홈즈’를 현대적 감각으로 재창조한 작품,BBC
6,체르노빌,['웨이브'],[],"['자레드 해리스', '스텔란 스카스가드', '에밀리 왓슨', '폴 리터', '제시 버클리', '아담 나게이티스']",4.5,Chernobyl,2019,드라마/역사/스릴러/TV드라마,"미국,영국",,"1986년 4월 26일, 소련 체르노빌에서 원자력 발전소 폭발 사고가 발생한다. 정부는 끔찍한 방사능 피해 사실을 부정하고 은폐하며 시민들을 죽음으로 몰아넣고, 사고는 인류 역사상 최악의 재난으로 번져간다.",HBO
7,더 퍼시픽,['웨이브'],"['티모시 반 패튼', '데이빗 너터', '제레미 포데스와', '그레이엄 요스트', '칼 프랭클린', '티모시 반 패튼', '데이빗 너터', '제레미 포데스와', '그레이엄 요스트', '칼 프랭클린']","['제임스 배지 데일', '조셉 마젤로', '존 세다', '애쉬튼 홈즈', '라미 말렉', '스콧 깁슨']",4.2,The Pacific,2010,전쟁/드라마/모험/액션/시대극/TV드라마,"미국,호주",청소년 관람불가,제2차 세계대전 태평양 전선에서 일어나는 전투에서 미 해병대의 활약을 그린 드라마,HBO
8,키딩 시즌 1,['왓챠'],[],"['짐 캐리', '캐서린 키너', '주디 그리어', '프랭크 란젤라', '콜 알렌', '진저 곤자가']",4.3,Kidding,2018,코미디/드라마/TV드라마,미국,청소년 관람불가,사고로 아들을 잃었지만 인형과 함께 웃어야만 하는 유명 어린이 프로그램의 진행자 제프. 자신의 고통을 직면하고 나누지 못하는 그의 삶에 비틀린 슬픔과 광기가 깃들기 시작한다.,WATCHA
9,멜로가 체질,"['넷플릭스', '디즈니+', '티빙']",[],"['천우희', '전여빈', '한지은', '안재홍', '공명', '윤지온']",4.3,멜로가 체질,2019,드라마/로맨스/코미디/로맨틱 코미디/TV드라마,한국,15세 관람가,"서른, 견디기 힘든 현실 속에서도 서른 살 이기에 아직 꿈을 꾸는 그들. 일과 연애에 대한 고민을 친구들에게 털어놓고 위로 받으며 한 걸음씩 성장하는 서른 살 그녀들의 판타지. 비록 현재 처한 상황이 녹록치 않을지라도! 이룬 것이 단 하나도 없을지라도! 그래도 꿋꿋하게 나아가는 대한민국의 모든 서른 들에게 이 드라마를 바친다.",JTBC
10,완다비전,['디즈니+'],[],"['엘리자베스 올슨', '폴 베타니', '캐스린 한', '티요나 패리스', '랜달 박', '캣 데닝스']",4.0,WandaVision,2021,액션/모험/드라마/TV드라마,미국,12세 관람가,이상적인 교외 생활을 하고 있는 초강력 존재인 완다 막시모프와 비전은 모든 것이 겉으로 보이는 것과 같지 않다고 의심하기 시작한다.,Disney+
11,죠죠의 기묘한 모험 - 다이아몬드는 부숴지지 않는다,['넷플릭스'],[],"['오노 유우키', '카지 유우키', '타카기 와타루', '사쿠라이 타카히로', '오노 다이스케', '토요구치 메구미']",4.0,ジョジョの奇妙な冒険,2016,애니메이션/액션/모험/판타지/공포,일본,청소년 관람불가,"해양학자가 된 쿠죠 죠타로는 나이를 먹어 죽음에 임박한 죠셉 죠스타의 유산분배에 관해 조사를 하다가, 죠셉의 숨겨둔 아들인 히가시카타 죠스케가 일본 모리오쵸에 살고 있다는 정보를 입수하고 죠스케와 유산분배에 관해 이야기 하기 위해 모리오쵸로 향한다. 평소에는 온순해 보이는 죠스케는 헤어스타일에 관한 이야기를 꺼내는 순간 분노하여 스탠드 '크레이지 다이아몬드'를 사용해와 죠타로를 놀래킨다. 죠타로는 죠스케에게 유산에 관해 말해주는 한편, 죠스케가 찾아낸 사진을 염사하여 모리오쵸에 훙악범죄자이자 스탠드 능력자인 '안젤로'가 숨어들어왔다는 것을 알아챈다. 안젤로는 모리오쵸의 경찰관이자 죠스케의 할아버지를 살해, 죠스케는 마을을 사랑한 할아버지의 유지를 이어 마을에 들어온 사악한 스탠드 능력자들을 해치우겠다고 마음먹는다. 그렇게 안젤로의 뒤를 쫓은 죠스케와 죠타로는 보통 사람에게서 스탠드 능력을 발현시키는 '활과 화살'의 존재에 대해 알게되는데...",TOKYO MX
12,죠죠의 기묘한 모험,['넷플릭스'],"['츠다 나오카츠', '스즈키 켄이치']","['오키츠 카즈유키', '코야스 타케히토', '우에다 요지', '시오야 요쿠', '카와스미 아야코', '코바야시 유미코']",3.7,ジョジョの奇妙な冒険,2012,애니메이션/액션/모험/판타지/공포,일본,청소년 관람불가,"때는 19세기 영국. 우연히 마차가 전복된 사건현장을 발견한 다리오 브란도는 금품을 훔치다가 마차의 주인인 죠지 죠스타를 보게된다. 죠지는 다리오를 생명의 은인으로 착각하고 꼭 도와주겠다 약속한다. 시간은 흘러 12년 뒤, 중병에 걸려 죽어가는 다리오 브란도는 아들 디오에게 죠스타 가문의 양자로 들어가라는 유언을 남긴다. 야망에 넘치는 디노는 죠스타 가문에 양자로 들어가 죠지의 아들인 죠나단 죠스타를 정신적으로 압박해 가문을 차지하려 한다. 하지만 의외로 폭발적인 에너지를 가진 죠나단에게 두려움을 느낀 디오는 죠나단의 친구인 척 하는 쪽으로 방침을 바꾼다. 그로부터 7년, 대학에서 고고학을 전공하게 된 죠나단은 남미에서 발견한 의문의 석가면을 연구하게 된다. 디오와는 둘도 없는 파트너가 되어 럭비의 투탑 에이스로 활약하지만 어째선지 우정이 느껴지지는 않는 그런 관계가 되었다 어느날, 죠죠는 아버지 죠지가 디오의 아버지 다리오와 같은 중병을 앓고 있다는 사실을 알게된다. 죠나단은 디오가 죠지에게 독약을 먹이고 있다는 의심을 품게되고 조사를 나선다. 한편 디오는 죠나단이 조사중인 석가면이 인간의 피에 반응하며, 석가면의 반응을 받은 인간은 초인적인 능력을 가진 흡혈귀로 진화한다는 것을 알아내는데...",TOKYO MX
13,원펀맨,"['왓챠', '넷플릭스', '웨이브', '티빙']",[],"['후루카와 마코토', '이시카와 카이토', '카지 유우키', '유우키 아오이', '야마지 카즈히로', '츠다 켄지로']",4.2,ワンパンマン,2015,코미디/애니메이션/액션,일본,15세 관람가,히어로 협회에 등록된 최강 히어로들의 싸움을 그린 애니메이션,TV Tokyo
14,"러브, 데스 + 로봇 시즌 1",['넷플릭스'],"['데이브 윌슨', '데이브 윌슨']","['스콧 화이트', '놀런 노스', '매튜 양 킹', '마이클 베니에어', '조쉬 브레너', '스콧 화이트']",3.9,"Love, Death & Robots",2019,애니메이션/판타지/SF/코미디,미국,,"우주에서 전쟁터, 무덤까지. 로봇에서 사이보그, 구미호까지. 팀 밀러와 데이비드 핀처가 18개의 단편에 넓고 깊은 세상을 담았다. 함께 즐기면 위험하니, 혼자 보시길!",Netflix
15,블랙 미러 시즌 2,['넷플릭스'],"['오웬 해리스', '칼 티베츠', '브린 히긴스']","['헤일리 앳웰', '도널 글리슨', '클레어 키란', '시네드 매튜스', '레노라 크릭클로우', '마이클 스마일리']",4.1,Black Mirror,2013,드라마/SF/스릴러/TV드라마,영국,청소년 관람불가,"과학 기술이 급격히 발전함에 따라, 우리 사회에 미치는 악영향을 극단적으로 이야기한 드라마",Channel 4
16,셜록 시즌 3,,"['제레미 로버링', '콤 맥카시', '닉 허랜', '제레미 로버링', '콤 맥카시', '닉 허랜']","['베네딕트 컴버배치', '마틴 프리먼', '아만다 애빙턴', '마크 거티스', '루퍼트 그레이브스', '우나 스텁스']",4.3,Sherlock,2013,범죄/미스터리/드라마,영국,12세 관람가,코난 아서 도일의 유명 추리소설 '셜록 홈즈’를 현대적 감각으로 재창조한 작품,BBC One
17,셜록 시즌 1,,"['폴 맥기건', '유로스 린', '폴 맥기건', '유로스 린', '폴 맥기건', '유로스 린', '폴 맥기건', '유로스 린']","['베네딕트 컴버배치', '마틴 프리먼', '루퍼트 그레이브스', '우나 스텁스', '루이스 브릴리', '마크 거티스']",4.4,Sherlock,2010,스릴러/드라마/범죄/미스터리,영국,15세 관람가,코난 아서 도일의 유명 추리소설 '셜록 홈즈’를 현대적 감각으로 재창조한 작품,BBC
18,파친코,['애플 TV+'],"['코고나다', '저스틴 전', '코고나다', '저스틴 전', '코고나다', '저스틴 전']","['김민하', '윤여정', '이민호', '진 하', '정은채', '스티브 노']",4.0,Pachinko,2022,드라마/역사/TV드라마,"미국,한국,캐나다",15세 관람가,"일제강점기 이후 부산 영도에서 오사카로 건너간 한국인 이민자인 선자의 4대에 걸친, 고국을 떠나 억척스럽게 생존과 번영을 추구하는 한인 이민 가족의 꿈과 희망을 기록한다. 금지된 사랑에서 시작되는 이야기는 한국과 일본, 그리고 미국을 오가며 전쟁과 전쟁과 평화, 사랑과 이별, 승리와 심판에 대한 잊을 수 없는 연대기를 그린다.",Apple TV+
19,세브란스: 단절 시즌 1,['애플 TV+'],[],"['애덤 스콧', '브릿 로우어', '패트리샤 아퀘트', '존 터투로', '잭 체리', '트라멜 틸만']",4.3,Severance,2022,스릴러/드라마/TV드라마,미국,15세 관람가,마크는 시술로 직장 생활과 사생활의 기억이 나뉜 사람들로 이루어진 부서의 팀장이다. 회사 밖에서 의문에 싸인 동료가 나타나면서 그들의 일에 대한 진실을 밝히는 여정이 시작된다.,Apple TV+
20,신서유기 시즌 4,['티빙'],[],"['강호동', '이수근', '은지원', '안재현', '규현', '송민호']",4.2,신서유기,2017,예능,한국,15세 관람가,"리얼막장 모험활극, 신서유기! 지금까지 들어본 적도 없고, 차마 볼 수도 없었던 리얼 막장 예능!",tvN
21,괴짜가족 괴담일기 시즌 2,['디즈니+'],[],[],4.3,Gravity Falls,2014,애니메이션/코미디/모험,미국,,12살 쌍둥이 남매 디퍼와 마벨이 작은 마을 '그래비티 폴스'에서 삼촌 스탠과 생활하며 생기는 소동을 다룬 에니메이션.,Disney XD
22,괴짜가족 괴담일기 시즌 1,,[],[],4.2,Gravity Falls,2012,애니메이션/코미디/모험,미국,12세 관람가,12살 쌍둥이 남매 디퍼와 마벨이 작은 마을 '그래비티 폴스'에서 삼촌 스탠과 생활하며 생기는 소동을 다룬 에니메이션.,Disney Channel
23,기묘한 이야기 시즌 1,"['넷플릭스', '웨이브']",[],"['위노나 라이더', '데이빗 하버', '핀 울프하드', '밀리 바비 브라운', '게이튼 마타라조', '케일럽 맥러플린']",4.1,Stranger Things,2016,드라마/판타지/공포/TV드라마,미국,15세 관람가,"한 소년이 연기처럼 사라져 버리자 이 작은 마을의 사람들은 정부의 비밀 실험과 무시무시한 초자연 현상, 그리고 낯선 미스터리의 소녀에 대한 비밀을 밝히려 한다.",Netflix
24,미생,"['넷플릭스', '티빙']",[],"['임시완', '이성민', '강소라', '강하늘', '김대명', '변요한']",4.3,미생,2014,드라마/TV드라마,한국,15세 관람가,"동명의 웹툰을 원작으로 제작될 드라마로 바둑만이 인생의 모든 것이었던 장그래가 프로입단에 실패한 후, 냉혹한 현실에 던져지면서 벌어지는 이야기.",tvN
25,추노,"['왓챠', '웨이브']","['곽정환', '박진석']","['장혁', '오지호', '이다해', '이종혁', '한정수', '김지석']",3.9,추노,2010,시대극/액션/역사/TV드라마,한국,15세 관람가,조선시대를 배경으로 역사조차 담진 못했던 쫓기는 노비와 그를 쫓는 노비 사냥꾼의 추격전을 그린 드라마.,KBS2
26,기묘한 이야기 시즌 4,['넷플릭스'],[],"['밀리 바비 브라운', '세이디 싱크', '핀 울프하드', '노아 슈나프', '게이튼 마타라조', '케일럽 맥러플린']",4.2,Stranger Things,2022,드라마/판타지/공포/TV드라마,미국,,"모든 끝에는 시작이 있다

인디애나주의 작은 마을에서 행방불명된 소년. 이와 함께 미스터리한 힘을 가진 소녀가 나타나고, 마을에는 기묘한 현상들이 일어나기 시작한다. 아들을 찾으려는 엄마와 마을 사람들은 이제 정부의 일급비밀 실험의 실체와 무시무시한 기묘한 현상들에 맞서야 한다.",Netflix
27,힐다 시즌 2,['넷플릭스'],['앤디 코일'],"['벨라 램지', '아메라 팔존 오조', '올리버 넬슨', '데이지 하가드', '라스무스 하디커']",4.3,Hilda,2020,가족/모험/애니메이션,"캐나다,영국,미국",,"자유롭고 용감한 소녀 힐다. 편안한 숲을 떠나, 모든 것이 생소한 도시에서 살게 된다. 그래도 새로운 친구들을 만나는 건 즐거워. 신비한 모험을 계속할 수 있으니까!",Netflix
28,킹덤 시즌 2,['넷플릭스'],[],"['주지훈', '배두나', '류승룡', '김상호', '김성규', '진선규']",4.0,Kingdom,2020,스릴러/미스터리/TV드라마,한국,청소년 관람불가,"죽었던 왕이 되살아나자 반역자로 몰린 왕세자가 향한 조선의 끝, 그곳에서 굶주림 끝에 괴물이 되어버린 이들의 비밀을 파헤치며 시작되는 미스터리 스릴러",Netflix
29,힐다 시즌 1,['넷플릭스'],['앤디 코일'],"['벨라 램지', '아메라 팔존 오조', '올리버 넬슨', '데이지 하가드', '라스무스 하디커']",4.2,Hilda,2018,가족/모험/애니메이션,"캐나다,영국,미국",,"자유롭고 용감한 소녀 힐다. 편안한 숲을 떠나, 모든 것이 생소한 도시에서 살게 된다. 그래도 새로운 친구들을 만나는 건 즐거워. 신비한 모험을 계속할 수 있으니까!",Netflix
30,1박 2일 시즌 1,"['왓챠', '웨이브']",[],"['강호동', '이수근', '은지원', '이승기', '김종민', '지상렬']",4.2,1박 2일,2007,예능,한국,15세 관람가,대한민국 각지를 돌아다니면서 1박 2일동안 다양한 체험을 하는 리얼 야생 로드 버라이어티,KBS2
31,신서유기 시즌 6,['티빙'],[],"['강호동', '이수근', '은지원', '안재현', '송민호', '피오']",4.1,신서유기,2018,예능,한국,15세 관람가,중국 고전 '서유기'의 주인공을 바탕으로 한 리얼 버라이어티 프로그램,tvN
32,신서유기 시즌 5,['티빙'],[],"['강호동', '이수근', '은지원', '안재현', '송민호', '피오']",4.1,신서유기,2018,예능,한국,15세 관람가,"리얼 막장 모험 활극, 신서유기! 지금까지 들어본 적도 없고, 차마 볼 수도 없었던 리얼 막장 예능! 대륙 한 가운데서 펼쳐지는 삼장법사, 저팔계, 손오공, 사오정의 모험이야기!",tvN
33,나의 히어로 아카데미아 3기,"['왓챠', '티빙']",[],"['스가누마 치사', '카와사키 메이코', '오가미 신노스케']",4.4,僕のヒーローアカデミア,2018,애니메이션/액션/모험,일본,15세 관람가,세계 총인구의 80퍼센트가 개성이라 불리는 초능력을 가진 초인 사회. 무개성으로 태어난 미도리야는 개성을 계승 받아 범죄와 맞서 싸우는 진정한 히어로를 꿈꾸며 성장해간다.,
34,원피스 1기,"['왓챠', '넷플릭스', '웨이브', '티빙']",[],"['강수진', '김승준', '정미숙', '김소형', '양석정']",4.4,원피스 1기,1999,모험/애니메이션,일본,12세 관람가,"˝최고의 해적왕˝을 꿈꾸는 루피와 동료들의 파란만장한 모험담 !
떄는 해적들이 난무하는 ‘춘추전국시대’. 곳곳에서는 전설적인 해적왕 골드로저가 남긴 보물 ‘원피스’를 놓고 수많은 해적들이 서로 싸우고 있었다. 어릴 때부터 골드로저를 너무도 동경한 나머지 자신도 전설의 해적왕이 되는 것이 꿈인 주인공 루피. 그러나 루피는 악마의 열매를 먹은 이후로 몸을 자유자재로 늘일 수 있지만 수영을 할 수가 없는 처지이다. 바다가 주 활동무대인 해적에게 있어 수영은 필수. 그러나 해적왕을 꿈꾸는 루피는 수영을 할 수 없음에도 불구하고 물에 빠지지 않으면 된다면서 자신의 꿈을 향해 모험을 떠난다. 그 과정에서 만나게 되는 현상금 헌터 ‘조로’, 자칭 해적전문 도둑인 ‘나미’, 저격수 ‘우솝, 그리고 주방장 ‘상디’까지. 지금부터 루피와 그의 동료 4명이 함께하는 해적의 꿈을 향한 파란만장한 모험이 펼쳐진다.",Fuji TV
35,원피스 2기,"['왓챠', '넷플릭스', '웨이브', '티빙']",[],"['강수진', '김승준', '정미숙', '김소형']",4.4,원피스 2기,2000,애니메이션/액션,일본,15세 관람가,"“최고의 해적왕”을 꿈꾸는 루피와 동료들의 파란만장 항해일지!
어릴 때부터 골드로저를 너무도 동경한 나머지 자신도 전설의 해적왕이 되는 것이 꿈인 주인공 루피. 그러나 루피는 악마의 열매 중 고무고무 열매를 먹은 이후로 몸을 자유자재로 늘일 수 있는 능력을 갖게 됐지만 수영을 할 수가 없게 됐다. 물에 빠지면 바로 익사이지만 루피는 꿈을 향해 바다로 출항한다. 본격적인 항해를 위해 검객 조로, 항해사 나미, 기계공 우솝, 요리사 상디를 동료로 맞이하고 드디어 그랜드 항로에 들어서는 루피일행. 싸우고 다치기 일수인 항해의 건강을 책임져줄 의사를 찾고 있던 루피 일행은 사연 많아 보이는 빨간코의 사슴의사 쵸파를 동료로 삼기 위해 또 다시 커다란 전투를 벌이게 되는데…",Fuji TV
36,원피스 3기,"['왓챠', '웨이브', '티빙']",[],"['강수진', '정미숙', '김승준', '타나카 마유미', '오카무라 아케미', '나카이 카즈야']",4.4,원피스 3기,2002,모험/애니메이션,일본,12세 관람가,"어렸을 적 악마의 열매를 먹고 몸이 맘대로 늘어나는 고무 인간이 돼버린 주인공 루피. 그러나 해적왕이 꿈인 루피는 그 열매를 먹은 대가로 수영을 할 수가 없다. 해적왕이 꿈인 소년이 수영을 할 수가 없다니 꿈을 접어야 할까. 루피는 수영을 못한다면 물에 안 빠지면 된다며 자신의 꿈을 향해 전진한다. 해적왕 골드로저가 남긴 보물 원피스를 차지하기 위해 수 많은 사람들이 바다로 뛰어드는 대해적 시대를 배경으로 세계지도를 그리려는 항해사 '나미', 최고의 검객를 꿈꾸는 '조로', 기적의 바다 오올 블루를 찾는 주방장 '상디', 코가 파랗다는 이유로 동료들에게 버려진 사슴인간 ‘쵸파’이렇게 다섯 인물들의 파란만장한 모험 이야기가 펼쳐진다.",Fuji TV
37,원피스 8기 : 에니에스로비 PART1,"['왓챠', '웨이브', '티빙']",[],"['강수진', '정미숙', '김승준', '타나카 마유미', '오카무라 아케미', '나카이 카즈야']",4.5,원피스 8기 : 에니에스로비 PART1,2006,모험/애니메이션,일본,12세 관람가,"에니에스 로비에 도착한 일행은 갤리 라의 직공장들과 프랑키 일가가 먼저 들어가 문을 열고, 밀짚모자 해적단에 로켓 맨에 탄 채 돌진하기로 작전을 짜지만 루피가 혼자 훌쩍 들어가버린다. 남은 사람들은 처음 계획대로 움직이지만, 본섬 앞문을 지키던 거인족 문지기에 발이 묶이고 만다. 본섬으로 들어간 루피 역시 엄청난 숫자로 막아서는 해군 및 관리들과 싸우며 좀처럼 앞으로 나아가지 못 한다. 우여곡절 끝에 결국 로빈을 만난 루피는 브루노와 싸우게 되고, 다른 일행들 역시 해군들과 싸우며 사법의 탑으로 향해 가는데..",Fuji TV
38,원피스 9기 : 에니에스로비 PART2,"['왓챠', '웨이브']",[],"['강수진', '정미숙', '김승준', '타나카 마유미', '오카무라 아케미', '나카이 카즈야']",4.5,원피스 9기 : 에니에스로비 PART2,2006,모험/애니메이션,일본,12세 관람가,"드디어 사법의 탑에 도착한 루피 일행은 프랑키와 합류해 로빈을 구하기 위해 들어간다. 그때 나타난 후쿠로가 스팬덤과 루치가 로빈을 정의의 문으로 데려갔고, 로빈이 찬 수갑 열쇠는 남은 CP9 다섯 명 중 한 명이 가지고 있다고 말한다. 일행은 수갑 열쇠를 얻는 동시에 로빈이 정의의 문을 지나는 것을 저지하고자 각자 움직인다. 루피는 로빈을 쫓아 정의의 문으로 향하고, 나머지 일행은 각각 CP9을 만나 열쇠를 빼앗기 위해 싸운다. 루피가 쫓아오자 당황한 스팬덤은 도움을 요청하려 하지만, 실수로 버스터 콜을 요청하는 황금 전보 벌레를 이용하고 마는데..",Fuji TV
39,원피스 10기 : 에니에스로비 PART3,"['왓챠', '웨이브']",[],"['강수진', '정미숙', '김승준', '타나카 마유미', '오카무라 아케미', '나카이 카즈야']",4.5,원피스 10기 : 에니에스로비 PART3,2007,모험/애니메이션,일본,12세 관람가,"밀짚모자 해적단은 그들의 동료, 로빈을 구하고자 에니에스 로비에서 해군 본부와 맞서고 해군에 사실상 승리를 거둔다. 워터 세븐으로 돌아온 밀짚모자 해적단은 눈물로 이별한 그들의 해적선, 고잉 메리호를 대신할 새로운 배를 만들어주겠다는 프랑키의 제안을 받아들인다. 드디어 사우전드 서니호가 완성되고 우여곡절 끝에 조선공 프랑키와 해적단을 자기 발로 나갔던 우솝까지 합류한 밀짚모자 해적단은 다시금 꿈을 향한 항해를 시작한다. 하지만 현상금 사냥꾼들이 그들을 가만두지 않는데... 과연 밀짚모자 해적단은 자신들의 앞에 닥친 모든 고난을 이겨내고 무사히 항해를 계속할 수 있을까?",Fuji TV
40,"원피스 12기 : 샤본디제도, 여인섬","['왓챠', '웨이브']",[],"['강수진', '정미숙', '김승준', '타나카 마유미', '오카무라 아케미', '나카이 카즈야']",4.4,"원피스 12기 : 샤본디제도, 여인섬",2009,모험/애니메이션,일본,15세 관람가,"마의 삼각지대에서 무사히 빠져나온 밀짚모자 일당은 다음 목적지인 어인섬을 향해 레드라인에 도착했으나, 정작 가는 방법을 모른다. 이때 만난 인어 케이미와 친구들의 도움으로 어인섬에 가려면 배를 코팅해야 한다는 사실을 알게 되고, 샤본디 제도에서 로저 해적단의 전 부선장이자 코팅 전문가인 레일리를 만난다. 하지만 친구를 구하기 위해 천룡인에게 손을 댄 루피 일행 앞에 해군대장 키자루와 부하인 센토마루, 그리고 인간 병기 파시피스타가 나타나 밀짚모자 일행은 절체절명의 위기를 맞는다. 이때 레일리가 나타나 도와주지만, 여기에 칠무해인 쿠마까지 나타나면서 밀짚모자 일행은 모두 사라져버리는데...",Fuji TV
41,원피스 14기 : 마린포드 PART1,"['왓챠', '웨이브']",[],"['강수진', '정미숙', '김승준', '타나카 마유미', '오카무라 아케미', '나카이 카즈야']",4.5,원피스 14기 : 마린포드 PART1,2009,애니메이션/액션/모험,일본,15세 관람가,"에이스 처형까지 앞으로 3시간. 해군본부가 자리한 마린포드에는 수많은 병력과 군함을 비롯해 칠무해와 3인의 해군대장까지, 해군의 모든 전력이 한데 모여 때를 기다리고 있다. 폭풍전야와 같은 고요함 속에서 마침내 에이스가 처형대에 모습을 드러내고, 센고쿠 원수는 전 세계를 향해 중대한 사실을 전하는데...",
42,숨겨진 숲의 비밀,,[],"['일라이저 우드', '콜린 딘', '멜라니 린스키', '크리스토퍼 로이드', '잭 존스', '사무엘 래미']",4.2,Over the Garden Wall,2014,애니메이션/판타지/코미디/가족/키즈/드라마/모험,미국,전체 관람가,"워트와 그렉 형제가 낯선 숲 ""언노운""에서 길을 잃는다. 형제는 이 미지의 숲에서 집으로 돌아가는 길을 찾아야만 한다.",Cartoon Network
